"","Type","Command","Container","mtime"
"pl_alignMerge","pipeline","bwaAlign+mergeBamDup",NA,2021-05-20 12:15:10
"pl_AnnPhaseVcf","pipeline","VCFvep+dVCFcoverage+rVCFcoverage+VCFexpression+PhaseVcf",NA,2021-07-20 16:56:30
"pl_BaseRecal","pipeline","BaseRecalibrator+ApplyBQSR+samtools_index+samtools_flagstat+samtools_stats",NA,2021-05-20 12:15:10
"pl_bwaAlign","pipeline","bwa+sam2bam+sortBam+idxBam",NA,2021-05-20 12:15:10
"pl_bwaMMRecal","pipeline","bwaAlign+mergeBamDup+BaseRecal",NA,2021-05-20 12:15:10
"pl_bwaMRecal","pipeline","bwaAlign+markdup+BaseRecal",NA,2021-07-07 10:35:12
"pl_CombineGenotypeGVCFs","pipeline","CombineGVCFs+GenotypeGVCFs",NA,2021-07-07 10:35:12
"pl_delly_somatic","pipeline","dellyCall+listSample+echo+fpaste+dellyFilter",NA,2021-05-20 12:15:10
"pl_GAlign","pipeline","fqJson+fq2ubam+ubam2bamJson+align+mvOut",NA,2021-05-20 12:15:10
"pl_glnexus_joint","pipeline","glnexus+bcf",NA,2021-05-20 12:15:10
"pl_GPoN","pipeline","GenomicsDB+PoN",NA,2021-07-22 10:05:23
"pl_hapCall","pipeline","hapJson+HC+mvOut",NA,2021-05-20 12:15:10
"pl_jdCall","pipeline","jdJson+JD+mvOut",NA,2021-05-20 12:15:10
"pl_lancet_scatter","pipeline","lancet_bed+mergeVcf",NA,2021-07-16 17:30:40
"pl_lofreq_indel","pipeline","indelq+bamIdx",NA,2021-05-20 12:15:10
"pl_lofreq_realign","pipeline","realign+sortBam+indelq+bamIdx",NA,2021-07-07 10:35:12
"pl_LoFreqPL","pipeline","tbamR+nbamR+lofreqCall",NA,2021-07-07 10:35:12
"pl_LoFreqSI","pipeline","tbamR+nbamR+lofreqCall",NA,2021-07-07 10:35:12
"pl_mantaStrelka","pipeline","manta+strelka",NA,2021-05-20 12:15:10
"pl_mergeBamDup","pipeline","mergeBam+markdup+samtools_index+samtools_flagstat",NA,2021-05-20 12:15:10
"pl_miRDeep2PL","pipeline","Mapper+miRDeep2",NA,2021-05-20 12:15:10
"pl_MuSE_scatter","pipeline","MuSEchr+mergeVcf+sortVcf+normVcf",NA,2021-07-21 14:06:32
"pl_Mutect2PL","pipeline","Mutect2+GetPileupSummariesT+GetPileupSummariesN+CalculateContamination+LearnReadOrientationModel+FilterMutectCalls+bcfview",NA,2021-07-22 15:35:10
"pl_neusomatic","pipeline","preprocess+call+postprocess",NA,2021-05-20 12:15:10
"pl_phaseVcf","pipeline","splitSample+renameGVcf+renameSVcf+combineVariants+sortVcf+ReadBackedPhasing+bgzip+tabixIndex",NA,2021-05-20 12:15:10
"pl_rnaseq_Sf","pipeline","fastqc+STAR+sortBam+samtools_index+samtools_flagstat+featureCounts+gtfToGenePred+genePredToBed+r_distribution+gCoverage",NA,2021-08-02 15:56:09
"pl_RSeQC","pipeline","gtfToGenePred+genePredToBed+r_distribution+gCoverage",NA,2021-05-20 12:15:10
"pl_SomaticCallers","pipeline","Mutect2PL+MuSE+bgzip+tabixIndex+mantaStrelka+SomaticSniper+VarDict+VarScanPL+Wrapper+mergeTSV+neusomaticPL",NA,2021-07-07 10:35:12
"pl_STARsoloDropletUtils","pipeline","STARsolo+DropletUtils",NA,2021-05-20 12:15:10
"pl_strelka2PL","pipeline","manta+strelka+strelkaSNV+strelkaIndel",NA,2021-05-20 12:15:10
"pl_subBamByVcf","pipeline","vcf2bed+samtoolsview+samtoolsidx",NA,2021-07-07 10:35:12
"pl_SUPPA","pipeline","quantMerge+genEvents+mergeEvents+psiPerEvent+splitEventsG1+splitEventsG2+splitExpG1+splitExpG2+diffSplice",NA,2021-05-20 12:15:10
"pl_targetVarCall","pipeline","bwaAlign+BaseRecal+bedtolist+HaplotypeCaller+GenotypeGVCFs",NA,2021-05-20 12:15:10
